原子番号,種類,元素記号,日本語,中国語（台湾）,中国語,韓国語,ギリシャ語,ドイツ語,英語,フランス語,ラテン語,ロシア語,色
1,非金属,H,水素,氫,氢,수소,Υδρογόνο,Wasserstoff,Hydrogen,Hydrogène,Hydrogenium,Водород,FFFFFF
2,貴ガス,He,ヘリウム,氦,氦,헬륨,Ήλιο,Helium,Helium,Hélium,Helium,Гелий,D9FFFF
3,アルカリ金属,Li,リチウム,鋰,锂,리튬,Λίθιο,Lithium,Lithium,Lithium,Lithium,Литий,CC80FF
4,2族元素,Be,ベリリウム,鈹,铍,베릴륨,Βηρύλλιο,Beryllium,Beryllium,Béryllium,Beryllium,Бериллий,C2FF00
5,非金属,B,ホウ素（硼素）,硼,硼,붕소,Βόριο,Bor,Boron,Bore,Borium,Бор,FFB5B5
6,非金属,C,炭素,碳,碳,탄소,Άνθρακας,Kohlenstoff,Carbon,Carbone,Carbonium,Углерод,909090
7,非金属,N,窒素,氮,氮,질소,Άζωτο,Stickstoff,Nitrogen,Azote,Nitrogenium,Азот,3050F8
8,非金属,O,酸素,氧,氧,산소,Οξυγόνο,Sauerstoff,Oxygen,Oxygène,Oxygenium,Кислород,FF0D0D
9,ハロゲン,F,フッ素（弗素）,氟,氟,플루오린,Φθόριο,Fluor,Fluorine,Fluor,Fluorum,Фтор,90E050
10,貴ガス,Ne,ネオン,氖,氖,네온,Νέον,Neon,Neon,Néon,Neon,Неон,B3E3F5
11,アルカリ金属,Na,ナトリウム,鈉,钠,나트륨,Νάτριο,Natrium,Sodium,Sodium,Natrium,Натрий,AB5CF2
12,2族元素,Mg,マグネシウム,鎂,镁,마그네슘,Μαγνήσιο,Magnesium,Magnesium,Magnésium,Magnesium,Магний,8AFF00
13,典型金属,Al,アルミニウム,鋁,铝,알루미늄,Αργίλιο,Aluminium,Aluminium,Aluminium,Aluminium,Алюминий,BFA6A6
14,非金属,Si,ケイ素（珪素）,矽,硅,규소,Πυρίτιο,Silicium,Silicon,Silicium,Silicium,Кремний,F0C8A0
15,非金属,P,リン（燐）,磷,磷,인,Φωσφόρος,Phosphor,Phosphorus,Phosphore,Phosphorus,Фосфор,FF8000
16,非金属,S,硫黄,硫,硫,황,Θείο,Schwefel,Sulfur,Soufre,Sulphur,Сера,FFFF30
17,ハロゲン,Cl,塩素,氯,氯,염소,Χλώριο,Chlor,Chlorine,Chlore,Chlorum,Хлор,1FF01F
18,貴ガス,Ar,アルゴン,氬,氩,아르곤,Αργό,Argon,Argon,Argon,Argon,Аргон,80D1E3
19,アルカリ金属,K,カリウム,鉀,钾,칼륨,Κάλιο,Kalium,Potassium,Potassium,Kalium,Калий,8F40D4
20,アルカリ土類金属,Ca,カルシウム,鈣,钙,칼슘,Ασβέστιο,Calcium,Calcium,Calcium,Calcium,Кальций,3DFF00
21,遷移金属,Sc,スカンジウム,鈧,钪,스칸듐,Σκάνδιο,Scandium,Scandium,Scandium,Scandium,Скандий,E6E6E6
22,遷移金属,Ti,チタン,鈦,钛,티타늄,Τιτάνιο,Titan,Titanium,Titane,Titanium,Титан,BFC2C7
23,遷移金属,V,バナジウム,釩,钒,바나듐,Βανάδιο,Vanadium,Vanadium,Vanadium,Vanadium,Ванадий,A6A6AB
24,遷移金属,Cr,クロム,鉻,铬,크롬,Χρώμιο,Chrom,Chromium,Chrome,Chromium,Хром,8A99C7
25,遷移金属,Mn,マンガン,錳,锰,망가니즈,Μαγγάνιο,Mangan,Manganese,Manganèse,Manganum,Марганец,9C7AC7
26,遷移金属,Fe,鉄,鐵,铁,철,Σίδηρος,Eisen,Iron,Fer,Ferrum,Железо,E06633
27,遷移金属,Co,コバルト,鈷,钴,코발트,Κοβάλτιο,Cobalt,Cobalt,Cobalt,Cobaltum,Кобальт,F090A0
28,遷移金属,Ni,ニッケル,鎳,镍,니켈,Νικέλιο,Nickel,Nickel,Nickel,Niccolum,Никель,50D050
29,遷移金属,Cu,銅,銅,铜,구리,Χαλκός,Kupfer,Copper,Cuivre,Cuprum,Медь,C88033
30,亜鉛族元素,Zn,亜鉛,鋅,锌,아연,Ψευδάργυρος,Zink,Zinc,Zinc,Zincum,Цинк,7D80B0
31,典型金属,Ga,ガリウム,鎵,镓,갈륨,Γάλλιο,Gallium,Gallium,Gallium,Gallium,Галлий,C28F8F
32,典型金属,Ge,ゲルマニウム,鍺,锗,게르마늄,Γερμάνιο,Germanium,Germanium,Germanium,Germanium,Германий,668F8F
33,非金属,As,ヒ素（砒素）,砷,砷,비소,Αρσενικό,Arsen,Arsenic,Arsenic,Arsenicum,Мышьяк,BD80E3
34,非金属,Se,セレン,硒,硒,셀레늄,Σελήνιο,Selen,Selenium,Sélénium,Selenium,Селен,FFA100
35,ハロゲン,Br,臭素,溴,溴,브로민,Βρώμιο,Brom,Bromine,Brome,Bromum,Бром,A62929
36,貴ガス,Kr,クリプトン,氪,氪,크립톤,Κρυπτό,Krypton,Krypton,Krypton,Krypton,Криптон,5CB8D1
37,アルカリ金属,Rb,ルビジウム,銣,铷,루비듐,Ρουβίδιο,Rubidium,Rubidium,Rubidium,Rubidium,Рубидий,702EB0
